filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
1471.png	119	32	40.512	255	50.0383	141	35.2975
1473.png	120	45	41.4737	255	42.4327	140	22.6875
1476.png	121	30	47.441	162	65.0146	113	45.318
148.png	122	15	38.325	141	46.9748	198	98.8414
1486.png	123	44	51.373	215	64.2977	122	64.9163
1488.png	124	61	52.0399	227	64.5036	139	56.6023
1490.png	125	83	42.1633	255	58.8949	140	44.6669
1493.png	126	56	46.4066	249	65.4687	124	32.2608
1498.png	127	59	51.6658	229	63.0573	118	33.8337
150.png	128	16	45.6847	153	47.5464	185	99.671
1500.png	129	67	54.9913	215	67.9227	120	36.7599
1504.png	130	56	60.7533	198	69.7683	118	37.9307
152.png	131	15	38.9839	148	49.1801	185	98.0647
155.png	132	15	36.7567	148	46.1045	198	98.6072
156.png	133	15	36.2135	145	46.136	198	98.1442
158.png	134	54	46.0864	127	63.5498	30	70.6159
1586.png	135	0	0	0	0	0	0
1587.png	136	95	43.7473	109	54.0757	36	40.9469
1590.png	137	89	38.7698	120	53.877	35	44.4147
1591.png	138	90	40.7384	117	57.5112	37	46.4825
1594.png	139	93	40.1933	118	55.6685	36	45.1766
1599.png	140	89	38.8482	122	54.7616	33	43.4801
160.png	141	61	46.9056	134	63.4147	29	67.0744
1604.png	142	91	43.2568	119	57.0837	35	44.6792
1607.png	143	94	43.7061	116	54.8837	32	43.6475
1609.png	144	93	42.7669	119	55.2762	32	42.0669
1610.png	145	91	40.7435	121	54.2673	32	42.1833
1614.png	146	96	42.6932	116	53.3522	31	40.0373
1616.png	147	95	42.6122	116	53.3609	31	40.2374
1618.png	148	93	41.1665	121	53.7804	30	39.9409
162.png	149	59	48.1326	127	62.3482	29	66.1469
1622.png	150	97	42.8844	127	50.2526	26	37.2602
1625.png	151	60	44.1171	148	45.5058	21	44.746
1626.png	152	60	44.0421	149	45.354	21	43.7116
1630.png	153	60	44.2759	150	44.8388	21	43.8978
1631.png	154	60	44.131	148	46.156	21	43.4211
1633.png	155	55	44.4516	152	45.5311	22	43.3868
1637.png	156	59	44.2123	150	46.0764	21	43.7467
1641.png	157	61	43.6821	151	47.4093	21	41.5284
1644.png	158	74	44.6226	159	56.5481	22	25.9936
1647.png	159	74	44.8369	159	56.8842	22	25.0538
1649.png	160	75	44.7104	157	58.7012	22	25.4862
165.png	161	58	48.4346	127	63.4739	30	67.6516
1652.png	162	83	47.1834	146	57.0047	22	33.352
1655.png	163	66	48.8979	148	51.8241	20	50.0864
1659.png	164	75	48.7118	141	55.7589	21	42.7013
1665.png	165	72	48.4577	140	54.5023	21	44.6692
1668.png	166	69	46.6903	139	42.8512	21	49.6382
1670.png	167	67	46.4166	142	42.3061	21	50.3251
1672.png	168	67	46.4625	141	42.0505	21	54.3228
1676.png	169	68	46.7103	141	43.7206	21	48.6856
1678.png	170	68	46.247	141	42.5929	21	51.9701
1681.png	171	69	45.9905	142	42.7197	21	48.4112
1683.png	172	67	47.3984	141	43.43	21	52.8073
1685.png	173	67	46.364	142	42.7848	21	52.5788
1687.png	174	67	46.3454	142	42.8545	21	52.8211
169.png	175	72	37.8976	117	42.249	27	64.3104
1690.png	176	68	46.733	142	42.2095	21	53.2917
1691.png	177	67	46.5814	142	42.6938	21	52.2033
1693.png	178	73	46.6578	144	43.3289	21	47.3111
1695.png	179	73	47.619	142	43.3105	21	48.6785
1698.png	180	73	47.1455	141	42.847	21	48.8761
1702.png	181	68	43.4252	144	42.116	21	53.6961
1704.png	182	68	42.6951	145	42.8511	21	52.0518
1707.png	183	67	43.0276	145	42.6864	21	52.2322
1709.png	184	66	47.7792	156	38.8064	21	63.4762
171.png	185	49	41.9404	129	42.2561	29	77.1743
1713.png	186	63	47.6885	150	38.3433	20	67.1254
1716.png	187	62	47.5231	152	38.8251	20	69.2011
1717.png	188	63	47.4005	151	38.6476	20	68.6639
1720.png	189	65	47.9347	152	38.3783	20	67.6554
1723.png	190	67	49.2429	153	38.7969	21	66.0219
1727.png	191	107	78.1316	97	52.1981	28	66.6888
173.png	192	48	41.7579	127	43.9799	29	78.6771
1730.png	193	84	76.8079	107	48.9909	27	66.8081
1731.png	194	97	78.8745	105	51.9794	27	68.2231
1733.png	195	69	42.0213	145	46.0861	21	49.3388
1735.png	196	68	42.6604	143	42.4766	21	56.882
1740.png	197	68	42.5841	144	42.5467	21	53.6082
1743.png	198	67	43.6485	146	41.0932	21	56.4295
1745.png	199	69	47.9691	152	38.956	21	54.3953
1748.png	200	70	50.3202	151	38.6525	20	62.0601
175.png	201	52	41.7222	131	40.1168	29	77.4525
1750.png	202	70	49.5936	153	37.4174	20	64.2595
1753.png	203	70	49.1633	153	38.4313	20	59.8733
1756.png	204	69	49.1287	151	38.3761	20	59.9307
1759.png	205	69	49.4195	151	38.8855	20	62.1565
1763.png	206	69	48.8667	153	39.7638	20	58.4642
1768.png	207	70	49.597	151	37.767	20	62.2191
177.png	208	52	41.8542	129	40.037	29	77.4821
1770.png	209	69	52.1072	148	38.0899	20	64.6034
1774.png	210	67	48.1544	148	39.8706	20	55.307
1775.png	211	67	52.3283	164	67.3427	20	54.3994
1779.png	212	62	49.0841	167	67.6727	21	53.2205
1785.png	213	68	49.1714	164	67.7887	20	47.7743
1788.png	214	67	48.7916	163	68.0097	21	48.8088
1793.png	215	76	46.6992	165	69.7208	24	34.5064
1795.png	216	76	46.5655	166	69.8972	24	35.2784
1796.png	217	76	46.6637	165	70.8725	24	36.0388
